year,Media n20,unc n2o,Media sf6,unc sf6,Media co2,unc co2,Media ch4,unc ch4
2001,316.36,0.14,4.78,0.004,371.32,0.12,1771.24,0.53
2002,316.94,0.12,4.98,0.003,373.45,0.12,1772.69,0.55
2003,317.63,0.12,5.23,0.002,375.98,0.12,1777.31,0.52
2004,318.26,0.12,5.45,0.002,377.7,0.12,1777.03,0.46
2005,318.91,0.1,5.67,0.002,379.98,0.12,1774.14,0.55
2006,319.82,0.13,5.91,0.002,382.09,0.12,1774.93,0.48
2007,320.44,0.13,6.18,0.002,384.02,0.12,1781.39,0.6
2008,321.5,0.13,6.46,0.003,385.83,0.12,1787.0,0.61
2009,322.27,0.12,6.75,0.003,387.64,0.12,1793.54,0.65
2010,323.19,0.12,7.04,0.003,390.1,0.12,1798.89,0.63
2011,324.21,0.12,7.3,0.004,391.85,0.12,1803.11,0.6
2012,325.05,0.12,7.6,0.004,394.06,0.12,1808.03,0.5
2013,325.94,0.12,7.91,0.003,396.74,0.12,1813.4,0.66
2014,327.08,0.12,8.25,0.004,398.81,0.12,1822.61,0.51
2015,328.17,0.12,8.58,0.004,401.01,0.12,1834.25,0.53
2016,328.95,0.12,8.91,0.003,404.41,0.12,1843.12,0.55
2017,329.74,0.11,9.26,0.004,406.76,0.12,1849.67,0.59
2018,330.9,0.12,9.6,0.006,408.72,0.12,1857.31,0.86
2019,331.88,0.12,9.94,0.004,411.66,0.12,1866.59,0.62
2020,333.03,0.13,10.27,0.004,414.24,0.12,1878.93,0.59
2021,334.31,0.11,10.63,0.006,416.45,0.12,1895.32,0.61
1998,,,4.21,0.003,366.84,0.12,1765.54,0.58
1999,,,4.38,0.003,368.54,0.12,1772.39,0.54
2000,,,4.58,0.004,369.71,0.12,1773.37,0.63
1959,,,,,315.98,0.12,,
1960,,,,,316.91,0.12,,
1961,,,,,317.64,0.12,,
1962,,,,,318.45,0.12,,
1963,,,,,318.99,0.12,,
1964,,,,,319.62,0.12,,
1965,,,,,320.04,0.12,,
1966,,,,,321.37,0.12,,
1967,,,,,322.18,0.12,,
1968,,,,,323.05,0.12,,
1969,,,,,324.62,0.12,,
1970,,,,,325.68,0.12,,
1971,,,,,326.32,0.12,,
1972,,,,,327.46,0.12,,
1973,,,,,329.68,0.12,,
1974,,,,,330.19,0.12,,
1975,,,,,331.12,0.12,,
1976,,,,,332.03,0.12,,
1977,,,,,333.84,0.12,,
1978,,,,,335.41,0.12,,
1979,,,,,336.84,0.12,,
1980,,,,,338.76,0.12,,
1981,,,,,340.12,0.12,,
1982,,,,,341.48,0.12,,
1983,,,,,343.15,0.12,,
1984,,,,,344.85,0.12,1644.69,0.68
1985,,,,,346.35,0.12,1657.28,0.67
1986,,,,,347.61,0.12,1670.08,0.82
1987,,,,,349.31,0.12,1682.71,0.48
1988,,,,,351.69,0.12,1693.19,0.66
1989,,,,,353.2,0.12,1704.54,0.54
1990,,,,,354.45,0.12,1714.42,0.69
1991,,,,,355.7,0.12,1724.84,0.72
1992,,,,,356.54,0.12,1735.51,0.6
1993,,,,,357.21,0.12,1736.49,0.44
1994,,,,,358.96,0.12,1742.06,0.63
1995,,,,,360.97,0.12,1748.8,0.47
1996,,,,,362.74,0.12,1751.46,0.63
1997,,,,,363.88,0.12,1754.54,0.36
