"U.S. greenhouse gas emissions by gas, 2020",
"total = 5,981 million metric tons of carbon dioxide equivalent (CO2e)",
"Data source: U.S. Environmental Protection Agency (EPA), <em>Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2020</em>, April 2022",
Note: Data are CO2e based on 100-year global warming potential. Total is gross emissions.,
An interactive pie chart showing the shares of total U.S. greenhouse gas emissions by type of greenouse gas in 2020.,
fossil fuel combustion CO2,72.6
methane,10.9
nitrous oxide,7.1
high-GWP gases,3.2
other CO2,6.2
